,Machine,DebugSize,DebugRVA,MajorImageVersion,MajorOSVersion,ExportRVA,ExportSize,IatVRA,MajorLinkerVersion,MinorLinkerVersion,NumberOfSections,SizeOfStackReserve,DllCharacteristics,ResourceSize,BitcoinAddresses,Benign
973,4,84,163680,10,10,0,0,148176,14,10,6,524288,49504,2416,0,1
974,1,56,21572,6,6,20340,112,4096,11,0,4,262144,320,5920,0,1
975,4,28,57744,6,6,0,0,57344,9,0,7,262144,0,1272,0,1
976,4,28,4544,6,6,32960,98,4096,9,0,5,262144,64,1040,0,1
977,1,28,4336,6,6,28000,98,4096,9,0,4,262144,320,1040,0,1
978,4,84,195968,10,10,201104,208,166792,14,10,6,262144,16736,3856,0,1
979,1,84,7664,10,10,0,0,36864,14,10,5,262144,49472,2512,0,1
980,4,84,37952,10,10,0,0,33856,14,10,6,524288,49504,2512,0,1
981,1,84,5648,10,10,0,0,24576,14,10,5,262144,49472,2272,0,1
982,4,84,23168,10,10,0,0,21088,14,10,6,524288,49504,2272,0,1
983,1,84,5424,10,10,9280,190,16384,14,10,5,262144,16704,1032,0,1
984,4,84,11472,10,10,12400,192,10256,14,10,6,262144,16736,1032,0,1
985,1,84,7136,10,10,0,0,24576,14,10,5,262144,49472,2304,0,1
986,4,84,26032,10,10,0,0,22224,14,10,6,524288,49504,2312,0,1
987,1,84,17120,10,10,0,0,86016,14,10,5,262144,49472,237032,0,1
988,2,84,30784,10,10,0,0,94208,14,10,6,262144,49472,237032,0,1
989,1,28,4896,6,6,412816,1140,4096,9,0,4,262144,320,13640,0,1
990,4,84,639680,10,10,658512,1808,564432,14,10,7,262144,16736,14936,0,1
991,1,84,80688,10,10,539264,1806,548864,14,10,6,262144,16704,14936,0,1
992,4,28,5680,6,6,519168,1140,4096,9,0,5,262144,64,13640,0,1
993,1,56,19276,0,4,0,0,8192,48,0,3,1048576,34112,1040,0,1
994,4,56,19268,0,4,0,0,0,48,0,2,4194304,34144,1040,0,1
995,1,28,4880,6,6,311248,202,4096,9,0,4,262144,320,15488,0,1
996,4,28,5104,8,5,33840,819,4096,8,0,4,1048576,32832,1556,0,1
997,1,28,4608,8,5,24016,819,4096,8,0,3,1048576,32832,1556,0,1
998,4,28,5104,8,5,33840,819,4096,8,0,4,1048576,32768,1552,0,1
999,1,28,4608,8,5,24016,819,4096,8,0,3,1048576,32768,1552,0,1
1000,1,84,5584,10,6,24000,819,32768,12,10,6,1048576,49472,1876,0,1
1001,4,84,27136,10,6,29200,819,24576,12,10,7,1048576,49504,1876,0,1
1002,4,28,2961280,5,6,3605344,128,2609152,14,0,9,1048576,352,848,0,1
1003,4,28,924336,0,6,0,0,245760,14,0,8,1048576,33120,118824,1,1
1004,4,84,617344,10,10,690272,292,446480,14,12,7,262144,16736,18616,0,1
1005,1,84,16192,10,10,59936,206,69632,14,10,5,262144,16704,3288,0,1
1006,4,84,68864,10,10,81632,208,60528,14,10,6,262144,16736,3288,0,1
1007,1,84,21712,10,10,0,0,106496,14,10,5,262144,49472,1072,0,1
1008,4,84,110848,10,10,0,0,91312,14,10,6,524288,49504,1072,0,1
1009,4,28,40928,0,6,0,0,32768,14,0,6,1048576,33120,0,0,1
1010,4,28,118528,0,6,125920,92,102400,14,0,6,1048576,33120,0,0,1
1011,4,28,34992,0,6,0,0,28672,14,0,8,1048576,33120,736,0,1
1012,4,28,18816,5,6,22736,128,16384,14,0,9,1048576,352,848,0,1
1013,4,28,23552,5,6,27296,124,20480,14,0,9,1048576,352,840,0,1
1014,4,28,8704,0,6,0,0,8192,14,0,7,1048576,33120,736,0,1
1015,4,28,32960,0,6,37072,136,28672,14,0,8,1048576,352,0,0,1
1016,4,84,205472,10,10,237600,92,189328,14,10,7,524288,49504,2864,0,1
1017,4,28,5248,6,6,230544,90,4096,9,0,5,524288,32832,2304,0,1
1018,4,84,102960,10,10,127968,652,97624,14,10,7,262144,16736,40176,0,1
1019,4,28,5264,6,6,154528,561,4096,9,0,5,262144,320,37360,0,1
1020,4,84,35536,10,10,37184,152,33536,14,10,6,262144,16736,16008,0,1
1021,4,28,5072,6,6,80704,110,4096,9,0,5,262144,64,1800,0,1
1022,4,28,4144,6,6,39280,141,49928,10,10,6,262144,320,2306652,0,1
1023,4,84,62928,10,10,65472,128,58144,14,10,6,262144,16736,20384,0,1
1024,4,28,4608,6,6,134240,127,4096,9,0,5,262144,320,19544,0,1
1025,4,84,466256,10,10,545968,144,451408,14,10,7,262144,16736,1128,0,1
1026,4,28,5280,6,6,703792,141,4096,9,0,5,262144,64,1128,0,1
1027,4,84,556624,10,10,568128,124,497776,14,10,7,262144,16736,1152,0,1
1028,1,84,11040,10,10,59296,345,65536,14,10,5,262144,16704,1040,0,1
1029,4,84,74304,10,10,80800,348,66144,14,10,6,262144,16736,1040,0,1
1030,4,28,5248,6,6,101264,345,4096,9,0,5,262144,320,1040,0,1
1031,1,28,4688,6,6,86384,345,4096,9,0,4,262144,320,1040,0,1
1032,1,56,4096,10,10,0,0,0,14,10,2,262144,1344,11736,0,1
1033,4,56,4096,10,10,0,0,0,14,10,2,262144,352,11736,0,1
1034,1,0,0,6,6,0,0,0,9,0,1,262144,1344,16832,0,1
1035,4,0,0,6,6,0,0,0,9,0,1,262144,320,16832,0,1
1036,1,84,9360,10,10,37808,119,45056,14,10,5,262144,16704,1104,0,1
1037,4,84,51408,10,10,53648,120,45904,14,10,6,262144,16736,1104,0,1
1038,4,28,4944,6,6,0,0,4096,9,0,5,524288,33088,2000,0,1
1039,1,84,4576,10,10,0,0,16384,14,10,5,262144,49472,2000,0,1
1040,4,84,13712,10,10,0,0,12656,14,10,6,524288,49504,2000,0,1
1041,1,28,4528,6,6,0,0,4096,9,0,4,262144,33088,2000,0,1
1042,1,84,9760,10,10,37792,386,45056,14,10,6,262144,16704,1128,0,1
1043,4,84,143760,0,5,0,0,86016,14,0,6,1048576,33120,0,0,1
1044,1,84,525584,0,5,0,0,421888,14,0,6,1048576,33088,12936,0,1
1045,1,84,113008,0,5,0,0,90112,14,0,6,1048576,33088,990168,0,1
1046,1,84,68080,0,5,0,0,49152,14,0,6,1048576,33088,12920,0,1
1047,1,0,0,0,5,0,0,8192,9,0,5,1048576,320,692,0,1
1048,1,0,0,0,5,94160,10247,81920,9,0,5,1048576,320,692,0,1
1049,1,84,812848,0,5,818320,84,679936,14,0,6,1048576,320,862992,0,1
1050,1,84,4096,0,5,4512,68,8192,14,0,4,1048576,1344,29008,0,1
1051,1,84,4096,0,5,4512,68,8192,14,0,4,1048576,1344,28152,0,1
1052,1,84,4096,0,5,4512,68,8192,14,0,4,1048576,1344,31120,0,1
1053,1,84,4096,0,5,4512,68,8192,14,0,4,1048576,1344,31256,0,1
1054,1,84,4096,0,5,4512,68,8192,14,0,4,1048576,1344,30984,0,1
1055,1,84,4096,0,5,4512,68,8192,14,0,4,1048576,1344,30112,0,1
1056,1,84,4096,0,5,4512,68,8192,14,0,4,1048576,1344,32048,0,1
1057,1,84,4096,0,5,4512,68,8192,14,0,4,1048576,1344,31736,0,1
1058,4,28,2328544,0,6,0,0,2039808,14,0,8,1048576,33120,436,0,1
1059,4,28,2046880,0,6,0,0,1794048,14,0,8,1048576,33120,436,0,1
1060,4,28,2097296,0,6,0,0,1826816,14,0,8,1048576,33120,436,0,1
1061,4,28,2032208,0,6,0,0,1781760,14,0,8,1048576,33120,436,0,1
1062,4,28,2192256,0,6,0,0,1921024,14,0,8,1048576,33120,436,0,1
1063,4,28,42592,0,6,0,0,32768,14,0,7,1048576,33120,436,0,1
1064,4,28,2035824,0,6,0,0,1785856,14,0,8,1048576,33120,436,0,1
1065,4,28,2210912,0,6,0,0,1933312,14,0,8,1048576,33120,436,0,1
1066,4,28,68880,0,6,0,0,53248,14,0,7,1048576,33120,436,0,1
1067,1,84,112568,0,6,249856,1088,114688,14,10,6,1048576,320,1824,0,1
1068,4,84,150808,0,6,278528,1088,151552,14,10,8,1048576,16736,1824,0,1
1069,1,84,91080,0,6,225280,179,94208,14,10,6,1048576,320,1832,0,1
1070,4,84,125592,0,6,253952,179,126976,14,10,8,1048576,16736,1832,0,1
1071,1,56,228576,0,6,0,0,110592,14,10,7,1048576,33088,2872,0,1
1072,4,56,274064,0,6,0,0,147456,14,10,9,1048576,49504,2872,0,1
1073,1,56,1733616,0,6,0,0,1318912,14,10,7,1048576,33088,2148,0,1
1074,1,84,9176,0,6,16384,86,12288,14,10,5,1048576,320,1208,0,1
1075,1,28,4096,0,6,0,0,0,14,10,2,1048576,1344,607024,0,1
1076,1,28,713840,6,6,1098016,1365,712704,11,0,5,262144,320,31920,0,1
1077,4,28,817376,6,6,1334144,1365,815104,11,0,6,262144,352,31920,0,1
1078,1,0,0,6,6,0,0,0,11,0,1,262144,1344,813576,0,1
1079,4,0,0,6,6,0,0,0,11,0,1,262144,352,813576,0,1
1080,1,28,4096,0,6,4128,52,0,14,10,2,1048576,1344,1657576,0,1
1081,1,28,4096,0,6,0,0,0,12,0,2,1048576,1344,738056,1,1
1082,1,28,4096,0,6,0,0,0,14,10,2,1048576,1344,58600,0,1
1083,4,28,4096,0,6,0,0,0,14,10,2,1048576,16736,58600,0,1
1084,1,84,2658928,6,6,2949104,163,2129920,12,10,6,1048576,320,57376,0,1
1085,1,84,2530784,6,6,2794800,166,2011136,12,10,6,1048576,320,52928,0,1
1086,1,84,91296,6,6,101216,163,86016,12,10,5,1048576,320,163120,0,1
1087,4,84,187344,10,10,0,0,148480,14,10,6,524288,49504,4464,0,1
1088,4,28,5280,6,6,0,0,4096,9,0,5,524288,33088,2008,0,1
1089,1,0,0,1,4,0,0,66204,2,29,9,2097152,0,1256,0,1
1090,4,84,40736,0,6,42176,196,16384,14,11,7,1048576,352,30220,0,1
1091,1,56,1151600,0,6,1334400,248,1118208,14,10,6,1048576,320,864848,0,1
1092,1,84,6704,1,10,18688,70,24576,14,10,5,262144,16704,1280,0,1
1093,4,84,26000,1,10,28256,72,22464,14,10,6,262144,16736,1280,0,1
1094,1,28,4576,1,6,19936,70,4096,9,0,4,262144,320,1280,0,1
1095,4,28,5056,1,6,27408,70,4096,9,0,5,262144,320,1280,0,1
1096,1,84,9536,1,10,58736,164,65536,14,10,5,262144,16704,1304,0,1
1097,4,84,70432,1,10,77360,164,62496,14,10,6,262144,16736,1304,0,1
1098,1,28,4784,1,6,76384,164,4096,9,0,4,262144,320,1304,0,1
1099,4,28,5440,1,6,101232,164,4096,9,0,5,262144,320,1304,0,1
1100,1,84,7088,1,10,45360,163,53248,14,10,5,262144,16704,6256,0,1
1101,4,84,51968,1,10,61712,164,47632,14,10,6,262144,16736,6256,0,1
1102,1,28,430736,0,5,1781392,140,430080,10,0,5,1048576,320,16660,0,1
1103,1,56,304480,0,6,436704,14366,303104,12,0,6,1048576,320,16848,0,1
1104,1,56,308576,0,6,441376,14556,307200,12,0,6,1048576,320,16848,0,1
1105,1,56,181584,0,6,237488,186,180224,12,0,6,1048576,320,12136,0,1
1106,1,56,181584,0,6,237488,186,180224,12,0,6,1048576,320,12144,0,1
1107,1,56,221536,0,6,272960,4699,221184,12,0,5,1048576,320,1888,0,1
1108,1,56,229712,0,6,281504,4699,229376,12,0,5,1048576,320,1888,0,1
1109,1,0,0,0,4,0,0,8192,6,0,3,1048576,1024,848,0,1
1110,1,28,4608,8,5,123024,82,4096,8,0,5,1048576,0,1048,0,1
1111,1,84,37440,10,6,141888,82,159744,12,10,6,1048576,16704,1080,0,1
1112,4,84,151856,10,6,162368,82,110592,12,10,7,1048576,16736,1080,0,1
1113,4,28,5104,8,5,170544,82,4096,8,0,6,1048576,320,1048,0,1
1114,1,28,4608,8,5,123024,82,4096,8,0,5,1048576,320,1048,0,1
1115,4,28,5104,8,5,170544,82,4096,8,0,6,1048576,0,1048,0,1
1116,1,84,11264,10,10,0,0,258048,14,10,5,262144,49472,1064,0,1
1117,4,84,71472,10,10,0,0,61440,14,10,6,524288,49504,1064,0,1
1118,1,84,6656,10,10,34112,169,40960,14,10,5,262144,16704,10896,0,1
1119,4,84,41344,10,10,43760,172,37904,14,10,6,262144,16736,10896,0,1
1120,1,28,4752,6,6,45136,169,4096,9,0,4,262144,320,9944,0,1
1121,4,28,5408,6,6,54240,169,4096,9,0,5,262144,320,9944,0,1
1122,4,28,1007848,0,4,0,0,0,48,0,2,4194304,34144,409716,0,1
1123,4,84,13152,0,5,0,0,12288,14,0,7,1048576,33120,2808,0,1
1124,4,84,14592,0,5,0,0,12288,14,0,8,1048576,352,18444,0,1
1125,4,28,350628,0,4,0,0,0,48,0,2,4194304,34144,409772,0,1
1126,4,84,79904,0,5,0,0,57344,14,0,8,1048576,33120,431104,0,1
1127,4,84,247984,0,5,290192,188,192512,14,0,7,1048576,352,41724,0,1
1128,4,28,1333428,0,4,0,0,0,48,0,2,4194304,34144,123788,0,1
1129,4,84,114640,0,5,140688,13028,98304,14,0,7,1048576,352,1436,1,1
1130,1,0,0,6,6,0,0,0,8,0,1,262144,1344,287316,0,1
1131,4,0,0,6,6,0,0,0,8,0,1,262144,64,287316,0,1
1132,4,0,0,6,6,0,0,0,8,0,1,262144,64,291824,0,1
1133,1,0,0,6,6,0,0,0,8,0,1,262144,1344,1024748,0,1
1134,4,0,0,6,6,0,0,0,8,0,1,262144,64,1024748,0,1
1135,4,0,0,6,6,0,0,0,8,0,1,262144,64,1056792,0,1
1136,1,0,0,6,6,0,0,0,8,0,1,262144,1344,1024276,0,1
1137,4,0,0,6,6,0,0,0,8,0,1,262144,64,1024276,0,1
1138,4,0,0,6,6,0,0,0,8,0,1,262144,64,1057572,0,1
1139,1,0,0,6,6,0,0,0,8,0,1,262144,1344,203544,0,1
1140,4,0,0,6,6,0,0,0,8,0,1,262144,64,203544,0,1
1141,4,0,0,6,6,0,0,0,8,0,1,262144,64,206908,0,1
1142,4,84,647072,10,10,739968,156,637440,14,10,7,262144,16736,1392,0,1
1143,4,56,673856,0,6,1008128,203,671744,11,0,7,1048576,352,2728,0,1
1144,1,112,90464,0,6,92384,3600,69632,14,0,5,1048576,16704,800,0,1
1145,1,56,57680,0,6,75072,3600,57344,12,0,5,1048576,320,800,0,1
1146,4,112,100720,0,6,108720,3600,69632,14,0,6,1048576,16736,800,0,1
1147,4,56,62128,0,6,86560,3600,61440,12,0,6,1048576,352,800,0,1
1148,4,84,221188,0,6,393216,184,225280,14,10,8,1048576,16736,1384,0,1
1149,1,84,159780,0,6,335872,184,163840,14,10,6,1048576,320,1384,0,1
1150,4,84,677072,10,10,702496,212,605080,14,10,7,262144,16736,10640,0,1
1151,4,84,76448,10,10,81088,116,69152,14,10,6,262144,16736,2416,0,1
1152,1,0,0,0,4,0,0,8192,8,0,3,1048576,34112,888,0,1
1153,4,0,0,0,4,0,0,8192,11,0,3,4194304,34112,952,0,1
1154,2,0,0,0,4,0,0,0,11,0,2,1048576,34112,792,0,1
1155,1,28,4416,6,6,0,0,4096,9,0,4,262144,33088,2016,0,1
1156,4,84,139600,10,10,0,0,115120,14,10,7,524288,49504,2016,0,1
1157,1,28,5168,6,6,0,0,4096,9,0,4,262144,33088,2016,0,1
1158,4,28,6208,6,6,0,0,4096,9,0,5,524288,33088,2016,0,1
1159,4,56,255056,0,6,0,0,253952,12,0,6,1048576,33120,1632,0,1
1160,4,28,5504,6,6,0,0,4096,9,0,5,524288,33088,2088,0,1
1161,1,28,4816,6,6,0,0,4096,9,0,4,262144,33088,2088,0,1
1162,1,28,4736,6,6,312000,1240,4096,9,0,4,262144,320,1016,0,1
1163,4,28,5392,6,6,381856,1240,4096,9,0,5,262144,64,1016,0,1
1164,4,84,781312,10,10,937312,1992,764536,14,10,7,262144,16736,1016,0,1
1165,1,84,48688,10,10,754880,1991,765952,14,10,6,262144,16704,1016,0,1
1166,1,84,48688,10,10,754784,1991,765952,14,10,6,262144,16704,1016,0,1
1167,4,84,24112,10,10,25056,204,20144,14,10,6,262144,16736,1136,0,1
1168,4,84,52000,10,10,0,0,45928,14,10,7,524288,49504,2424,0,1
1169,4,84,11328,10,10,12288,152,10080,14,10,6,262144,16736,1168,0,1
1170,1,84,12720,10,10,124304,380,131072,14,10,6,262144,16704,3032,0,1
1171,4,84,120912,10,10,151920,380,114840,14,10,7,262144,16736,3032,0,1
1172,1,28,4096,0,6,4128,56,0,14,10,2,1048576,1344,43576,0,1
1173,4,28,28672,0,4,45056,299,49456,2,28,10,2097152,0,0,0,1
1174,1,84,7680,10,6,57424,226,65536,14,10,5,1048576,320,1440,0,1
1175,1,28,4368,6,6,18240,440,4096,9,0,4,262144,320,1024,0,1
1176,4,84,42272,10,10,45808,928,41232,14,10,6,262144,16736,5680,0,1
1177,1,84,4624,10,10,38112,926,45056,14,10,5,262144,16704,5680,0,1
1178,4,28,4624,6,6,22576,440,4096,9,0,5,262144,320,1024,0,1
1179,1,28,197168,502,5,1014160,146,196608,10,0,5,1048576,33088,112749024,1,1
1180,4,28,3334448,502,5,10099232,203,3305472,10,0,6,1048576,448,254888,0,1
1181,4,28,471040,502,5,755616,290,0,10,0,7,1048576,33216,254888,1,1
1182,4,84,134624,10,10,166192,240,120360,14,10,6,262144,16736,1136,0,1
1183,4,84,256960,0,6,312688,124,217088,14,10,6,1048576,16736,0,0,1
1184,4,56,4752576,0,6,5237824,408,3293184,14,10,8,1048576,16736,1320,0,1
1185,1,28,4096,0,6,0,0,0,14,10,2,1048576,1344,2517960,0,1
1186,1,84,62088,0,6,188416,113,65536,14,10,6,1048576,320,3768,0,1
1187,4,84,79068,0,6,229376,113,81920,14,10,8,1048576,16736,3768,0,1
1188,1,28,470652,0,4,0,0,8192,11,0,3,1048576,34112,1520,0,1
1189,1,28,329940,0,4,0,0,8192,11,0,3,1048576,34112,1568,0,1
1190,1,28,61464,0,4,0,0,8192,11,0,3,1048576,34112,1528,0,1
1191,1,28,2732312,0,4,0,0,8192,11,0,3,1048576,34112,1536,0,1
1192,1,56,393760,0,6,903376,68,389120,14,10,5,1048576,320,1224,0,1
1193,1,28,865420,0,4,0,0,8192,11,0,3,1048576,34112,1472,0,1
1194,1,28,194700,0,4,0,0,8192,11,0,3,1048576,34112,1520,0,1
1195,1,56,206672,15,6,0,0,155648,14,11,5,1048576,49472,2992,0,1
1196,1,84,62352,10,6,192752,170,204800,14,10,5,1048576,320,1891600,0,1
1197,4,84,216080,10,6,225104,176,143360,14,10,6,1048576,352,1891600,0,1
1198,1,56,97992,0,4,0,0,8192,48,0,3,1048576,34144,2276,0,1
1199,4,84,121104,10,10,144720,384,104896,14,10,7,262144,16736,1096,0,1
1200,1,84,20432,10,10,105040,384,114688,14,10,6,262144,16704,1096,0,1
1201,4,84,4427424,10,10,5016000,588,3076416,14,10,7,524288,49504,116608,0,1
1202,1,84,1834096,10,10,3765152,651,4145152,14,10,6,262144,49472,116608,0,1
1203,4,84,223328,10,10,258128,96,198872,14,10,7,262144,16736,7520,0,1
1204,1,84,34512,10,10,188528,93,200704,14,10,6,262144,16704,7520,0,1
1205,4,84,80336,10,10,81568,312,66368,14,10,6,262144,16736,1136,0,1
1206,1,84,27712,10,10,34064,309,40960,14,10,5,262144,16704,1136,0,1
1207,4,84,3597136,10,10,0,0,2858400,14,10,7,524288,49504,116984,0,1
1208,1,84,1214528,10,10,0,0,3252224,14,10,6,262144,49472,116976,0,1
1209,4,84,238368,10,10,0,0,168256,14,10,6,524288,49504,1032,0,1
1210,1,84,66368,10,10,0,0,208896,14,10,5,262144,49472,1032,0,1
1211,5,84,73904,10,10,0,0,323584,14,10,6,524288,49504,1032,0,1
1212,1,28,23636,0,4,0,0,8192,48,0,3,1048576,34112,1440,0,1
1213,1,28,23644,0,4,0,0,8192,48,0,3,1048576,34112,1448,0,1
1214,1,84,10096,10,10,33984,205,40960,14,10,5,262144,16704,1472,0,1
1215,4,84,38208,10,10,47744,208,34784,14,10,6,262144,16736,1472,0,1
1216,1,28,4576,6,6,50800,205,4096,9,0,4,262144,320,1472,0,1
1217,4,28,5072,6,6,59056,205,4096,9,0,5,262144,64,1472,0,1
1218,1,84,5072,10,10,0,0,20480,14,10,5,262144,49472,88824,0,1
1219,4,84,22480,10,10,0,0,20752,14,10,6,524288,49504,88824,0,1
1220,4,84,624464,10,10,0,0,617088,14,10,6,524288,49504,1040,0,1
1221,1,84,11712,10,10,0,0,622592,14,10,5,262144,49472,1040,0,1
1222,4,28,6992,6,6,305360,132,4096,9,0,5,262144,320,646640,0,1
1223,4,84,677680,10,10,749968,116,649152,14,10,7,262144,16864,10664,0,1
1224,4,84,835840,21315,10,0,0,789736,14,10,7,524288,49504,4744,0,1
1225,4,84,1101872,0,6,1478016,128,937984,14,10,6,1048576,16736,1072,0,1
1226,4,84,354336,10,10,364352,116,328408,14,10,7,262144,16736,1024,0,1
1227,1,84,40240,10,10,211904,147,217088,14,10,6,262144,16704,1352,0,1
1228,4,84,268896,10,10,277312,148,246072,14,10,7,262144,16736,1352,0,1
1229,4,84,93248,10,10,105040,136,88024,14,10,7,262144,16736,1400,0,1
1230,4,84,348336,10,10,377664,164,311880,14,10,7,262144,16736,1128,0,1
1231,4,84,343376,10,10,368288,152,295848,14,10,7,262144,16736,1056,0,1
1232,4,84,186912,10,10,206448,184,162504,14,10,7,262144,16736,1088,0,1
1233,4,84,56096,10,10,0,0,49176,14,10,7,524288,49504,1096,0,1
1234,1,56,4352,10,6,0,0,16384,14,12,5,1048576,33088,1776,0,1
1235,4,84,29584,0,5,36816,3504,24576,14,0,7,1048576,352,1088,0,1
1236,4,0,0,0,4,69632,278,74156,2,27,18,2097152,0,0,0,1
1237,4,28,538032,0,4,0,0,0,8,0,2,4194304,34112,736,0,1
1238,4,0,0,0,4,49152,5713,57768,2,29,11,2097152,0,0,0,1
1239,4,84,238544,0,5,296576,34932,200704,14,0,7,1048576,352,1056,1,1
1240,4,0,0,0,4,376832,11019,390148,2,27,19,2097152,0,0,0,1
1241,4,0,0,0,4,831488,11796,844744,2,27,19,2097152,0,0,0,1
1242,4,0,0,0,4,372736,10842,386052,2,27,19,2097152,0,0,0,1
1243,4,28,165648,0,6,172752,680,131072,14,0,6,1048576,352,0,0,1
1244,4,0,0,0,4,86016,980,90620,2,27,11,2097152,0,0,0,1
1245,4,28,13840,0,6,15040,72,12288,14,0,7,1048576,352,872,0,1
1246,4,28,44128,0,6,45648,84,40960,14,0,6,1048576,352,0,0,1
1247,4,28,56128,0,6,57840,80,53248,14,0,6,1048576,352,0,0,1
1248,4,28,43760,0,6,45360,88,40960,14,0,6,1048576,352,0,0,1
1249,1,84,9008,10,10,474272,1466,593920,14,10,6,262144,16704,1304,0,1
1250,4,84,115488,10,10,519008,1468,112016,14,10,7,262144,16736,1304,0,1
1251,1,28,4736,6,6,505168,640,4096,9,0,4,262144,320,1304,0,1
1252,4,28,5344,6,6,637296,640,4096,9,0,5,262144,320,1304,0,1
1253,4,84,399856,10,10,473328,120,366376,14,10,7,262144,16736,1080,0,1
1254,1,84,13680,10,10,0,0,114688,14,10,5,262144,49472,1064,0,1
1255,4,84,121744,10,10,0,0,106904,14,10,6,524288,49504,1064,0,1
1256,4,84,220688,1707,6,0,0,184320,14,0,8,1048576,33120,42256,0,1
1257,4,84,220336,1707,10,0,0,184320,14,0,9,1048576,33120,42256,0,1
1258,4,84,539520,1707,6,654960,36004,425984,14,0,9,1048576,352,26784,0,1
1259,4,84,504528,1707,10,618512,35944,405504,14,0,10,1048576,352,26784,0,1
1260,4,84,668208,10,10,784816,112,641528,14,10,7,262144,16736,71240,0,1
1261,4,28,6928,6,6,1041584,109,4096,9,0,5,262144,320,66080,0,1
1262,4,84,1700448,10,10,2133600,100,1594736,14,10,7,262144,16736,12784,0,1
1263,4,28,6928,6,6,2366896,133,4096,9,0,5,262144,320,1000,0,1
1264,4,84,1765248,10,10,2036480,100,1557536,14,10,7,262144,16736,12824,0,1
1265,4,84,415904,10,10,425664,524,356592,14,10,6,262144,16736,19368,0,1
1266,4,84,64208,10,10,72672,76,55576,14,10,6,262144,16736,1048,0,1
1267,4,84,10176,10,10,11120,196,9424,14,10,6,262144,16736,1080,0,1
1268,4,84,58064,10,10,0,0,48872,14,10,7,524288,49632,3288,0,1
1269,4,84,133968,10,10,142160,184,122280,14,10,7,262144,16736,29576,0,1
1270,1,56,832288,0,6,840496,2651,884736,14,10,7,1048576,320,1737,0,1
1271,1,84,448992,0,6,467680,92,393216,14,10,6,1048576,320,1056,0,1
1272,1,84,27499648,1,6,27506720,1016,20639744,14,10,6,1048576,320,1152,1,1
1273,4,112,1118048,0,6,1306224,80,921600,14,0,8,1048576,352,3824,0,1
1274,1,28,4096,0,6,4128,52,0,14,10,2,1048576,1344,98596,0,1
1275,1,84,342000,0,6,345648,1140,307200,14,0,5,1048576,16704,1080,0,1
1276,1,56,6915600,0,6,6925472,94762,7032832,14,0,9,1048576,16704,1545,0,1
1277,1,28,4592,6,6,0,0,4096,9,0,4,262144,33088,4312,0,1
1278,1,84,5408,10,10,0,0,16384,14,10,5,262144,49472,62392,0,1
1279,4,84,104624,10,10,118192,2468,102760,14,10,7,262144,16736,1856,0,1
1280,1,84,19504,10,10,245648,3703,274432,14,10,5,262144,16704,33904,0,1
1281,4,84,62000,10,10,0,0,54640,14,10,7,524288,49504,984,0,1
1282,1,84,4912,10,10,49248,540,61440,14,10,6,262144,16704,1016,0,1
1283,1,28,621388,0,4,0,0,8192,8,0,3,1048576,34112,1536,0,1
1284,4,0,0,0,4,0,0,62296,2,27,10,2097152,0,1256,0,1
1285,4,0,0,0,4,0,0,102916,2,24,8,2097152,32768,1256,0,1
1286,1,84,8800,10,10,46432,160,53248,14,10,5,262144,16704,1840,0,1
1287,4,84,55920,10,10,58656,160,50416,14,10,6,262144,16736,1848,0,1
1288,1,28,4784,6,6,57792,160,4096,9,0,4,262144,320,1840,0,1
1289,4,28,5424,6,6,67040,160,4096,9,0,5,262144,320,1848,0,1
1290,4,28,4640,6,6,13680,199,4096,9,0,6,262144,320,1344,0,1
1291,1,28,8432,6,6,13984,199,8192,9,0,5,262144,320,1344,0,1
1292,4,28,159744,0,4,176128,1930,180528,2,28,10,2097152,0,0,0,1
1293,1,84,8880,10,10,0,0,45056,14,10,5,262144,49472,1808,0,1
1294,4,84,48304,10,10,0,0,42800,14,10,6,524288,49504,1808,0,1
1295,4,28,165456,0,6,172352,680,131072,14,0,6,1048576,352,0,0,1
1296,4,28,77824,0,4,94208,715,98824,2,28,10,2097152,0,0,0,1
1297,4,0,0,0,4,0,0,1643116,2,27,10,2097152,0,1256,0,1
1298,1,84,16016,10,10,37680,701,45056,14,10,6,262144,16704,1000,0,1
1299,4,84,42160,10,10,45200,704,30208,14,10,7,262144,16736,1000,0,1
1300,1,28,4336,6,6,33056,701,4096,9,0,5,262144,320,1000,0,1
1301,4,28,4560,6,6,40816,701,4096,9,0,6,262144,320,1000,0,1
1302,1,84,7200,10,10,19280,609,24576,14,10,5,262144,16704,3784,0,1
1303,1,84,6656,10,10,0,0,24576,14,10,5,262144,49472,2080,0,1
1304,4,84,24432,10,10,26160,612,20912,14,10,6,262144,16736,3784,0,1
1305,4,84,23872,10,10,0,0,20752,14,10,6,524288,49504,2080,0,1
1306,1,28,4448,6,6,27472,609,4096,9,0,5,262144,320,3784,0,1
1307,4,28,4800,6,6,34624,609,4096,9,0,6,262144,320,3784,0,1
1308,1,84,5072,10,10,97936,2468,110592,14,10,6,262144,16704,1856,0,1
1309,4,84,854048,0,0,879424,54,0,14,10,9,1048576,0,11088,0,1
1310,1,84,4432,10,10,20512,131,32768,14,10,7,262144,16704,1280,0,1
1311,4,84,29504,10,10,33152,132,28944,14,10,8,262144,16736,1280,0,1
1312,4,28,4592,6,6,64896,131,4096,9,0,5,262144,320,1000,0,1
